ID,Age,Education,Experience,Income,ZIP Code,Married,Dependents,Credit_Card,Num_Credit_Card,Monthly_CC_Usage,Credit_Score,Self_Employed,Salaried,Loan_Amount,Nationality,Personal_Loan,Securities_Account,CD_Account,Online_Banking,Last_Two_Years_Tax_Return_Filled,Living_Property,Property_Area,Loan_Status,
1,25,1,1,49000,486113,0,4,0,4,16000,Good,Yes,No,100000,Indian,0,1,0,0,Yes ,Rented,Urban,Approved,
2,45,1,19,34000,464112,0,3,0,4,15000,Good,No,Yes,100000,Indian,0,1,0,0,No,Owned,Semi Urban,Reject,
3,39,1,15,11000,475001,0,1,0,4,10000,Good,Yes,No,50000,Indian,0,0,0,0,Yes ,Rented,Rural,Reject,
4,35,2,9,100000,462030,0,1,0,4,27000,Good,No,Yes,1000000,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
5,35,2,8,45000,456222,1,4,1,4,10000,Good,Yes,No,100000,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
6,37,2,13,29000,456771,0,4,0,4,4000,Good,No,Yes,100000,Indian,0,0,0,1,No,Owned,Urban,Approved,
7,53,2,27,72000,456771,0,2,0,4,15000,Good,Yes,No,200000,Indian,0,0,0,1,Yes ,Rented,Urban,Approved,
8,50,3,24,22000,456771,1,1,1,4,3000,Standard,No,Yes,50000,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
9,35,2,10,81000,483773,0,3,0,4,6000,Standard,Yes,No,50000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
10,34,3,9,180000,475002,0,1,0,4,89000,Good,No,Yes,1000000,Indian,1,0,0,0,No,Owned,Semi Urban,Approved,
11,65,3,39,105000,462016,0,4,0,1385,24000,Standard,Yes,No,1000000,Indian,0,0,0,0,Yes ,Rented,Semi Urban,Approved,
12,29,2,5,45000,455115,0,3,0,4,1000,Good,No,No,100000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
13,48,3,23,114000,462003,0,2,0,4,38000,Good,No,Yes ,1000000,Indian,0,1,0,0,Yes ,Owned,Semi Urban,Approved,
14,59,2,32,40000,462016,0,4,0,4,25000,Good,Yes ,Yes,100000,Indian,0,0,0,1,No,Owned,Rural,Reject,
15,67,1,41,112000,462030,0,1,0,4,20000,Good,Yes,Yes,1000000,Indian,0,1,0,0,Yes ,Owned,Urban,Approved,
16,60,3,30,22000,462021,1,1,1,4,15000,Good,Yes,Yes,50000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
17,38,3,14,130000,462030,0,4,0,5,47000,Good,Yes,Yes,1000000,Indian,1,0,0,0,Yes ,Owned,Urban,Approved,
18,42,1,18,81000,462021,0,4,0,5,24000,Good,Yes,No,50000,Indian,0,0,0,0,No,Owned,Urban,Reject,
19,46,3,21,193000,462008,0,2,0,5,81000,Good,No,Yes,1000000,Indian,1,0,0,0,Yes ,Rented,Urban,Approved,
20,55,2,28,21000,462001,1,1,1,5,5000,Good,Yes,No,50000,Indian,0,1,0,0,No,Owned,Semi Urban,Reject,  
21,56,2,31,25000,462030,0,4,0,5,9000,Good,No,No,100000,Indian,0,0,0,1,Yes ,Rented,Semi Urban,Approved,
22,57,3,27,63000,462001,0,3,0,5,20000,Good,No,Yes ,200000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
23,29,1,5,62000,462030,0,1,0,5,12000,Standard,Yes ,Yes,200000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
24,44,1,18,43000,462023,0,2,0,5,7000,Standard,Yes,Yes,100000,Indian,0,1,0,0,Yes ,Owned,Semi Urban,Approved,
25,36,1,11,152000,462003,1,2,1,5,39000,Standard,Yes,Yes,1000000,Indian,0,0,0,0,Yes ,Rented,Rural,Reject,
26,43,1,19,29000,462016,0,3,0,5,5000,Standard,Yes,Yes,100000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
27,40,3,16,83000,462001,0,4,0,5,2000,Standard,Yes,No,50000,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
28,46,1,20,158000,462001,1,1,1,5,24000,Standard,No,Yes,1000000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
29,56,3,30,48000,462001,1,1,1,5,22000,Standard,Yes,No,100000,Indian,0,0,0,1,No,Rented,Urban,Reject,
30,38,2,13,119000,462016,1,1,1,5,33000,Standard,No,Yes,1000000,Indian,1,0,1,1,Yes ,Owned,Urban,Approved,
31,59,3,35,35000,462031,0,1,0,5,12000,Standard,Yes,No,100000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
32,40,2,16,29000,462036,0,1,0,5,20000,Standard,No,No,100000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
33,53,3,28,41000,462001,0,2,0,5,6000,Standard,No,Yes ,100000,Indian,0,0,0,0,No,Owned,Semi Urban,Approved,
34,30,3,6,18000,462015,0,3,0,5,9000,Standard,Yes ,Yes,50000,Indian,0,0,0,0,Yes ,Owned,Urban,Reject,
35,31,3,5,50000,462023,0,4,0,5,18000,Standard,Yes,Yes,200000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
36,48,1,24,81000,462023,0,3,0,5,7000,Standard,Yes,Yes,50000,Indian,0,0,0,0,Yes ,Owned,Rural,Reject,
37,59,1,35,121000,462001,1,1,1,5,29000,Standard,Yes,Yes,1000000,Indian,0,0,0,0,No,Rented,Urban,Approved,
38,51,3,25,71000,462018,0,1,0,5,14000,Standard,Yes,No,200000,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
39,42,3,18,141000,462001,0,3,0,5,50000,Standard,No,Yes,1000000,Indian,1,1,1,1,Yes ,Rented,Urban,Approved,
40,38,3,13,80000,462024,0,4,0,5,7000,Standard,Yes,No,50000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
41,57,3,32,84000,462001,0,3,0,1288,16000,Good,No,No,50000,Indian,0,1,0,0,No,Owned,Urban,Reject,
42,34,1,9,60000,462008,0,3,0,5,23000,Good,No,Yes ,200000,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Approved,
43,32,2,7,132000,462008,0,4,0,5,11000,Good,Yes ,Yes,1000000,Indian,1,0,0,1,Yes ,Rented,Semi Urban,Approved,
44,39,1,15,45000,462001,0,1,0,5,7000,Good,Yes,Yes,100000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
45,46,1,20,104000,462003,1,1,1,5,57000,Good,Yes,Yes,1000000,Indian,0,0,0,1,No,Owned,Urban,Approved,
46,57,1,31,52000,462001,1,4,1,5,25000,Good,Yes,Yes,200000,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Approved,
47,39,2,14,43000,462007,0,3,0,5,7000,Standard,Yes,No,100000,Indian,0,0,0,1,No,Rented,Rural,Reject,
48,37,3,12,194000,462016,1,4,1,5,2000,Good,No,Yes,1000000,Indian,1,1,1,1,Yes ,Owned,Urban,Approved,
